Entry	Gene names	Subcellular location [CC]
Q14964	RAB39A RAB39	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle, phagosome {ECO:0000269|PubMed:21255211}. Cytoplasmic vesicle, phagosome membrane {ECO:0000269|PubMed:24349490}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Lysosome {ECO:0000269|PubMed:24349490}. Note=Recruited to phagosomes containing S.aureus or M.tuberculosis.
Q8TDY2	RB1CC1 KIAA0203 RBICC	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11850849}. Cytoplasm {ECO:0000269|PubMed:10769033}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9ESK9}. Preautophagosomal structure {ECO:0000269|PubMed:28561066}. Lysosome {ECO:0000269|PubMed:28561066}. Note=Under starvation conditions, is localized to puncate structures primarily representing the isolation membrane that sequesters a portion of the cytoplasm resulting in the formation of an autophagosome. {ECO:0000269|PubMed:28561066}.
Q00577	PURA PUR1	SUBCELLULAR LOCATION: Nucleus.
Q6ZW05	PTCHD4 C6orf138 PTCH53	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P0DI81	TRAPPC2 SEDL	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:11031107}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:11031107}. Nucleus {ECO:0000269|PubMed:20498720, ECO:0000269|PubMed:25918224}. Cytoplasm {ECO:0000269|PubMed:20498720}. Note=Localized in perinuclear granular structures. {ECO:0000269|PubMed:11031107}.
Q9Y2V3	RAX RX	SUBCELLULAR LOCATION: Nucleus.
P34925	RYK JTK5A	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=In cells that have undergone neuronal differentiation, the C-terminal cleaved part is translocated from the cytoplasm to the nucleus. {ECO:0000250}.
A6NEL2	SOWAHB ANKRD56	
Q9NQW1	SEC31B SEC31L2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16495487}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:16495487}; Peripheral membrane protein {ECO:0000269|PubMed:16495487}; Cytoplasmic side {ECO:0000269|PubMed:16495487}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:16495487}; Peripheral membrane protein {ECO:0000269|PubMed:16495487}.
Q8WWT9	SLC13A3 NADC3 SDCT2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17426067}; Multi-pass membrane protein {ECO:0000269|PubMed:17426067}.
P0C7V7	SEC11B SEC11L2 SPCS4B	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q13428	TCOF1	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12777385}.
Q8TDR4	TCP10L PRED77	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14586771, ECO:0000269|PubMed:15910542}.
Q7Z6L1	TECPR1 KIAA1358	SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome membrane. Lysosome membrane. Note=Localizes to Lysosome membranes, and binds PtdIns(3)P at the surface of autophagosome. Localizes to autolysosomes, a vesicle formed by the fusion between autophagosomes and lysosomes.
O00762	UBE2C UBCH10	
A0A0B4J249	TRAV5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
O00526	UPK2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Heterodimer formation with UPK1A is a prerequisite to exit out of the endoplasmic reticulum (ER). {ECO:0000250}.
A6NL46		
A0A075B6T6	TRAV12-2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0B4J2E0	TRBV12-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
P54578	USP14 TGT	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19106094}. Cell membrane {ECO:0000269|PubMed:19106094}; Peripheral membrane protein {ECO:0000269|PubMed:19106094}.
Q9P275	USP36 KIAA1453	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:19208757, ECO:0000269|PubMed:25775507, ECO:0000269|PubMed:27445338}. Cytoplasm {ECO:0000269|PubMed:27445338}.
Q9Y6I7	WSB1 SWIP1	
O43264	ZW10	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15029241}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15029241}; Peripheral membrane protein {ECO:0000269|PubMed:15029241}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:11590237, ECO:0000269|PubMed:15485811, ECO:0000269|PubMed:15824131}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:11590237}. Note=Dynamic pattern of localization during the cell cycle. In most cells at interphase, present diffusely in the cytoplasm (PubMed:15029241). In prometaphase, associated with the kinetochore. At metaphase, detected both at the kinetochores and, most prominently, at the spindle, particularly at the spindle poles. In very early anaphase, detected on segregating kinetochores. In late anaphase and telophase, accumulates at the spindle midzone (PubMed:11590237). {ECO:0000269|PubMed:11590237, ECO:0000269|PubMed:15029241}.
O14972	VPS26C DCRA DSCR3 DSCRA	SUBCELLULAR LOCATION: Endosome {ECO:0000305|PubMed:28892079}.
Q16881	TXNRD1 GRIM12 KDRF	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm.
Q8NI36	WDR36	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:21051332, ECO:0000269|PubMed:22002106}.
Q9HA38	ZMAT3 PAG608 WIG1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11571644}. Nucleus, nucleolus {ECO:0000269|PubMed:11571644}.
P52744	ZNF138	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q86WZ6	ZNF227	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q13398	ZNF211	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P30291	WEE1	SUBCELLULAR LOCATION: Nucleus.
Q8N8Z8	ZNF441	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H598	SLC32A1 VGAT VIAAT	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:O35458}; Multi-pass membrane protein {ECO:0000255}.
P0C7X5	ZNF806	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q06730	ZNF33A KIAA0065 KOX31 ZNF11 ZNF11A ZNF33	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BUY5	ZNF426	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9HCZ1	ZNF334	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
B1APH4	ZNF487 KRBO1 ZNF487P	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q14592	ZNF460 ZNF272	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6ZNC4	ZNF704	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9ERQ3}.
Q9ULD5	ZNF777 KIAA1285	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N446	ZNF843	
Q96SR6	ZNF382	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q8TD17	ZNF398 KIAA1339 ZER6	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BYP7	WNK3 KIAA1566 PRKWNK3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16501604}.
Q5W150		
Q8N8J6	ZNF615	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P0CW01	TSPY10	
Q96N58	ZNF578	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
A6NJL1	ZSCAN5B	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q8N6N2	TTC9B	
Q9NX65	ZSCAN32 ZNF434 HCCS5	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q86TV6	TTC7B TTC7L1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23229899}. Cell membrane {ECO:0000269|PubMed:23229899}. Note=Localizes to the cytosol and is recruited to the plasma membrane following interaction with EFR3 (EFR3A or EFR3B) (PubMed:23229899). {ECO:0000269|PubMed:23229899}.
Q9Y277	VDAC3	SUBCELLULAR LOCATION: Mitochondrion outer membrane.
P63129	ERVK-24	
P11473	VDR NR1I1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:12145331, ECO:0000269|PubMed:28698609}. Cytoplasm {ECO:0000269|PubMed:12145331, ECO:0000269|PubMed:28698609}. Note=Localizes mainly to the nucleus (PubMed:28698609, PubMed:12145331). Localization to the nucleus is enhanced by vitamin D3. {ECO:0000269|PubMed:12145331, ECO:0000269|PubMed:28698609}.
P12018	VPREB1 VPREB	
Q9BRG1	VPS25 DERP9 EAP20	SUBCELLULAR LOCATION: Cytoplasm. Endosome membrane. Nucleus, nucleoplasm. Note=Distributes diffusely throughout the cytoplasm and nucleoplasm, but exhibits a punctate distribution on coexpression with CHMP6.
Q8IV63	VRK3	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14645249}.
P02774	GC	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2423133}.
P51809	VAMP7 SYBL1	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Late endosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Lysosome membrane {ECO:0000269|PubMed:17897319}; Single-pass type IV membrane protein {ECO:0000269|PubMed:17897319}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cell junction, synapse, synaptosome {ECO:0000250}. Note=In immature neurons expression is localized in vesicular structures in axons and dendrites while in mature neurons it is localized to the somatodendritic region. Colocalizes with LAMP1 in kidney cells. Localization to the endoplasmic reticulum membrane was observed in the intestine but not in liver or kidney (By similarity). {ECO:0000250}.
Q9H4T2	ZSCAN16 ZNF392 ZNF435	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NBB4	ZSCAN1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q9BZ97	TTTY13 TTY13	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
P63124	HERV-K104	
Q9Y487	ATP6V0A2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Endosome membrane. Note=In kidney proximal tubules, also detected in subapical vesicles. {ECO:0000250}.
Q9P1D8	PRO2289	
A8MXK9		
Q6ZRU5		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q96MV1	TLCD4 TMEM56	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q5QJE6	DNTTIP2 ERBP TDIF2	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12786946, ECO:0000269|PubMed:15047147}.
Q4W5P6	TMEM155	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
O75643	SNRNP200 ASCC3L1 HELIC2 KIAA0788	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166, ECO:0000269|PubMed:29301961, ECO:0000269|PubMed:29360106, ECO:0000269|PubMed:29361316, ECO:0000269|PubMed:30315277, ECO:0000269|PubMed:30705154, ECO:0000269|PubMed:30728453, ECO:0000269|PubMed:9539711}.
Q8N377		
A8MVM7		
Q6ZSR9		
Q5DID0	UMODL1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15194491}; Single-pass type I membrane protein {ECO:0000269|PubMed:15194491}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm.
Q9NZ43	USE1 USE1L MDS032	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15029241}; Single-pass type IV membrane protein {ECO:0000269|PubMed:15029241}.
P60604	UBE2G2	
Q9UHU1	PRO1716	
A0A0A6YYD4	TRBV13	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q6ZU65	UBN2 KIAA2030	
Q9BXU3	TEX13A	
Q13105	ZBTB17 MIZ1 ZNF151 ZNF60	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14739298, ECO:0000269|PubMed:9312026}.
Q9Y330	ZBTB12 C6orf46 G10 NG35	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q969E3	UCN3 SPC	SUBCELLULAR LOCATION: Secreted.
Q9HAW8	UGT1A10 GNT1 UGT1	SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9Y4X1	UGT2A1 UGT2A2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P30530	AXL UFO	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:7896447}; Single-pass type I membrane protein {ECO:0000269|PubMed:7896447}.
Q6PCB0	VWA1	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:Q8R2Z5}.
A8MWP4		
Q9Y5J7	TIMM9 TIM9 TIM9A TIMM9A	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Peripheral membrane protein {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Intermembrane side {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}.
P57738	TCTA	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
E7ETH6	ZNF587B	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NA23	WDR31	
Q8NF64	ZMIZ2 KIAA1886 ZIMP7 HRIHFB2007	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16051670, ECO:0000269|PubMed:9853615}. Note=Detected at replication foci throughout S phase.
Q12901	ZNF155	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BY10	SLC46A2 TSCOT	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9H9D4	ZNF408 PFM14 PRDM17	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23716654, ECO:0000269|PubMed:25882705}.
Q8IYB9	ZNF595	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8TA94	ZNF563	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q5EBL2	ZNF628	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P17039	ZNF30 KOX28	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O75123	ZNF623 KIAA0628	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6AZW8	ZNF660	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q7Z739	YTHDF3	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:28106072}.
Q96N46	TTC14 KIAA1980 UNQ5813/PRO19630	
Q5W5X9	TTC23 HCC8	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q8CHY7}. Note=Colocalizes with EVC and IQCE at the EvC zone of primary cilia. {ECO:0000250|UniProtKB:Q8CHY7}.
Q96GT9	XAGE2 GAGED3 XAGE2B	
Q9P1C3	PRO2829	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8WWM1	XAGE5 GAGED5	
Q9C0H2	TTYH3 KIAA1691	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15010458}; Multi-pass membrane protein {ECO:0000269|PubMed:15010458}.
Q52LC2	ATP6AP1L	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q16864	ATP6V1F ATP6S14 VATF	
Q96LB4	ATP6V1G3 ATP6G3	
Q8IUC6	TICAM1 PRVTIRB TRIF	SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:21695056}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q80UF7}. Mitochondrion {ECO:0000250|UniProtKB:Q80UF7}. Note=Colocalizes with UBQLN1 in the autophagosome (PubMed:21695056). Colocalizes in the cytosol with DDX1, DDX21 and DHX36. Colocalizes in the mitochondria with DDX1 and poly(I:C) RNA ligand. The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) RNA ligand stimulation (By similarity). {ECO:0000250|UniProtKB:Q80UF7, ECO:0000269|PubMed:21695056}.
Q9NUA8	ZBTB40 KIAA0478	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O43829	ZBTB14 ZFP161 ZNF478	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15629158}. Note=Colocalizes with ZBTB21 in nucleus in HEK293 cells.
A8MUA0		
P55851	UCP2 SLC25A8	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P55089	UCN	SUBCELLULAR LOCATION: Secreted.
O94888	UBXN7 KIAA0794 UBXD7	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22537386}.
O15060	ZBTB39 KIAA0352	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N1Y9		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q9UPT8	ZC3H4 C19orf7 KIAA1064	
Q6PEW1	ZCCHC12 SIZN1	
Q6UWM9	UGT2A3 UNQ2559/PRO6239	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P37275	ZEB1 AREB6 TCF8	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20418909, ECO:0000269|PubMed:25190660}.
Q7Z3T8	ZFYVE16 KIAA0305	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11546807}. Early endosome membrane {ECO:0000269|PubMed:11546807}; Peripheral membrane protein {ECO:0000269|PubMed:11546807}. Note=Localized to early endosomes. Membrane-associated, probably via its association with phosphatidylinositol 3-phosphate (PI3P).
Q7RTX0	TAS1R3 T1R3 TR3	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q969J2	ZKSCAN4 ZNF307 ZNF427	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:17910948}.
Q5VTH9	WDR78	
A8MV65	VGLL3	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8N8G2}.
Q14584	ZNF266 KIAA2007	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8IUA0	WFDC8 C20orf170 WAP8	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
O75373	ZNF737 ZNF102	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q09FC8	ZNF415	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17055453}. Cytoplasm {ECO:0000269|PubMed:17055453}. Note=Isoforms 1, isoform 2, isoform 4 and isoform 5 showed both nuclear and cytoplasm localization. Isoform 3 localized only to nucleus.
O94892	ZNF432 KIAA0798	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q00341	HDLBP HBP VGL	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8605996}. Nucleus {ECO:0000269|PubMed:8605996}.
Q9H7X3	ZNF696	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q3KNS6	ZNF829	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9ULM2	ZNF490 KIAA1198	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96C28	ZNF707	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H963	ZNF702P ZNF702	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P10072	ZNF875 HKR1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6ZMS4	ZNF852	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P0CJ78	ZNF865	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q9P2S5	WRAP73 WDR8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:26545777, ECO:0000269|PubMed:26675238}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:26675238}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:26675238}. Note=Enriched in the proximal end of the mother centriole (PubMed:26545777). During ciliogenesis also associated with the basal body of the adjacent centriole (PubMed:26675238). {ECO:0000269|PubMed:26545777, ECO:0000269|PubMed:26675238}.
Q6UXV3	UNQ6126/PRO20091	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
B9ZVM9	TCP10L2	
A0A0J9YXM7	TRBJ1-5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q15560	TCEA2	SUBCELLULAR LOCATION: Nucleus.
O75445	USH2A	SUBCELLULAR LOCATION: Cell projection, stereocilium membrane {ECO:0000269|PubMed:14676276}; Single-pass type I membrane protein {ECO:0000269|PubMed:14676276}. Note=Component of the interstereocilia ankle links in the inner ear sensory cells. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment taht surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q2QI47}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.
Q8NBM4	UBAC2 PHGDHL1 PSEC0110	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23297223}; Multi-pass membrane protein {ECO:0000255}.
Q9BRU9	UTP23 C8orf53	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}.
Q13454	TUSC3 N33	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
O00755	WNT7A	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.
Q4V348	ZNF658B	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H6R7	WDCP C2orf44 PP384	
Q8TAG6	VXN C8orf46	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8BG31}. Nucleus {ECO:0000250|UniProtKB:Q8BG31}. Note=Nuclear localization is essential for its function in neurogenesis. {ECO:0000250|UniProtKB:Q8BG31}.
Q6IQ21	ZNF770	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q5HY98	ZNF766	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9Y4E5	ZNF451 COASTER KIAA0576 KIAA1702	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18656483, ECO:0000269|PubMed:24324267}. Nucleus, PML body {ECO:0000269|PubMed:18656483}. Nucleus, nucleoplasm. Note=Colocalizes with UBE2I/UBC9, SUMO1 and SUMO2 in nuclear granules; this probably requires sumoylation. Desumoylation leads to diffuse nucleoplasmic location. {ECO:0000269|PubMed:18656483}.
A6NP11	ZNF716	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8WZ26	PP6455	
P13051	UNG DGU UNG1 UNG15	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus.
P17031	ZNF26 KOX20	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6ZNH5	ZNF497	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q86T29	ZNF605	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15940	ZNF726P1 ZNF67 ZNF67P	
P51522	ZNF83 ZNF816B	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9HAH1	ZNF556	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q19AV6	ZSWIM7 SWS1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P98169	ZXDB	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96LW9	ZSCAN31 ZNF310P ZNF323	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96SZ4	ZSCAN10 ZNF206	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q05940	SLC18A2 SVMT VMAT2	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane; Multi-pass membrane protein.
Q15542	TAF5 TAF2D	SUBCELLULAR LOCATION: Nucleus.
Q9HAT2	SIAE YSG2	SUBCELLULAR LOCATION: Lysosome {ECO:0000305}. Secreted.
Q99832	CCT7 CCTH NIP7-1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P80313}.
Q9NRJ4	TULP4 KIAA1397 TUBL4 TUSP	SUBCELLULAR LOCATION: Cytoplasm.
Q8N831	TSPYL6	
A0A0B4J240	TRAV10	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q6ZRM9		
Q9H869	YY1AP1 HCCA2 YY1AP	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11710830, ECO:0000269|PubMed:12118372}. Nucleus {ECO:0000269|PubMed:14744866, ECO:0000269|PubMed:17541814}. Nucleus, nucleoplasm {ECO:0000269|PubMed:27939641}. Nucleus, nucleolus {ECO:0000269|PubMed:27939641}.
P42681	TXK PTK4 RLK	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17177976}. Nucleus {ECO:0000269|PubMed:17177976}. Cell membrane {ECO:0000269|PubMed:17177976}; Peripheral membrane protein {ECO:0000269|PubMed:17177976}. Note=Localizes in the vicinity of cell surface receptors in the plasma membrane after receptor stimulation. Translocates into the nucleus and enhances IFN-gamma gene transcription in T-cells.
Q7Z7L7	ZER1 C9orf60 ZYG ZYG11BL	
Q9Y2W2	WBP11 NPWBP SIPP1 SNP70	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Predominantly located in the nucleus with granular heterogeneous distribution. Excluded from nucleoli in interphase cells, distributed throughout cytoplasm in dividing cells. Colocalized with SC35 and U2B in the nucleus. In the cytoplasm, associates with the intermediate filament protein vimentin.
